w,l,nf,flavor,vd,mean_rel_error,vth_error,vth,ion,ioff,peak_gm
1.6e-06,9e-08,1,5,0.0,1.9999962801929896,-0.07907465978882477,0.5812341673728988,2.280743000000001e-07,1.0922220000000001e-07,6.500286666666671e-07
4e-07,4e-08,8,5,0.0,1.9999962397840116,0.3061874581129929,0.19381254188700708,5.396378e-07,1.1041370000000009e-07,
4e-07,3e-08,8,5,0.0,1.9999962397840116,0.3061874581129929,0.19381254188700708,5.396378e-07,1.1041370000000009e-07,
3e-06,9e-08,1,1,0.0,1.999996125504405,0.33688038750855487,0.1737121232598996,4.423106e-07,1.0847520000000005e-07,1.0338620000000002e-06
2e-07,3e-08,8,4,0.0,1.9999960538580266,0.16187047258523257,0.3,4.2562e-07,1.119541e-07,
2e-07,4e-08,8,4,0.0,1.9999960538580266,0.16187047258523257,0.3,4.2562e-07,1.119541e-07,
4e-07,6e-08,4,4,0.0,1.9999960062033293,0.2397702361619221,0.22080210119858484,4.0405580000000004e-07,1.125521e-07,6.106219999999999e-07
2e-07,9e-08,8,0,0.0,1.9999959315826041,0.15319584422691346,0.3653356113779067,2.933232e-07,1.0307079999999997e-07,6.486119999999999e-07
8e-07,6e-08,1,0,0.0,1.999995863112505,-0.12948256233933497,0.5889084145414547,1.495765e-07,1.024573e-07,4.4410833333333326e-07
8e-07,3e-08,1,0,0.0,1.9999956780030446,-0.1721141635469411,0.6,1.860583000000001e-07,1.0207490000000005e-07,
8e-07,4e-08,1,0,0.0,1.9999956780030446,-0.1721141635469411,0.6,1.860583000000001e-07,1.0207490000000005e-07,
1.6e-06,6e-08,4,1,0.0,1.9999954473094612,0.49629900504775104,0.017045486850559184,7.3927804e-07,1.0861820000000006e-07,1.0592495666666664e-06
3e-06,4e-08,2,1,0.0,1.9999952731162054,0.5018120929535691,0.012620224660296114,7.382255e-07,1.082439e-07,
3e-06,3e-08,2,1,0.0,1.9999952731162054,0.5018120929535691,0.012620224660296114,7.382255e-07,1.082439e-07,
2e-07,6e-08,8,0,0.0,1.9999951161157492,0.3108511554049529,0.1759119771040642,3.728721e-07,1.0239360000000005e-07,6.156619999999999e-07
8e-07,6e-08,4,2,0.0,1.999995059661651,0.4857276960703905,0.00787439716810264,5.65094e-07,1.1110100000000001e-07,8.58484e-07
